,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
146,0.9675483440764614,알파바운스 슬라이드 2.0 - 그레이 / GZ9503,아디다스,11000.0,323,29,5.0,100.0
147,0.9673260724605468,라분 더비 R22M056 (FG블랙),로맨틱무브,2700.0,2357,287,4.9,600.0
148,0.9671038008446321,아이언 레인저 8111 - 앰버 하니스,레드윙,4500.0,1579,514,4.9,600.0
149,0.9668815292287175,SCRUNCH MARYJANE - BLACK,락피쉬웨더웨어,5500.0,4915,400,4.8,1100.0
150,0.9666592576128028,아이언 레인저 8083 - 호손 뮬스키너,레드윙,2100.0,723,187,5.0,100.0
151,0.9664369859968882,소프트 워킹 슬리퍼(그레이),갭,5700.0,1937,1038,4.9,2300.0
152,0.9662147143809735,[VIBRAM]DANIEL,조셉트,3200.0,1524,544,4.7,500.0
153,0.9659924427650589,SECOND.A 볼륨 라운드토 5CM 첼시부츠 2NDF3000GB [BLACK],피렌체 아뜨리에,2800.0,2216,235,4.9,800.0
154,0.9657701711491442,[리뉴얼] 키높이인솔 3 SET (3가지높이 선택가능 / 총6pcs),피렌체 아뜨리에,4400.0,5326,8681,4.8,6800.0
155,0.9655478995332296,ROCK602 (PEANUT)_MEN,언다이드룸,3300.0,1236,73,4.9,100.0
156,0.9653256279173149,Harmony - Blanc (Cuir),흐꺙,2700.0,221,12,4.8,50.0
157,0.9651033563014003,WALLABEE M 26156605,클락스,2200.0,476,23,4.8,50.0
158,0.9648810846854856,19B503 black loafer,리플라,8500.0,15731,843,4.7,600.0
159,0.964658813069571,1461 벡스 백핸드 블랙 / 27882001,닥터마틴,2600.0,1394,34,4.9,200.0
160,0.9644365414536563,N232USD322 리플 슬라이드 WHITE,내셔널지오그래픽,5300.0,524,67,4.9,300.0
161,0.9642142698377417,여성 빈티지 이펙트 코인 페니 로퍼 - 브라운 / 5D773D3G48F0038,미우미우,2900.0,117,1,4.0,0.0
162,0.963991998221827,Desert Trek. Sand Suede 26164264,클락스,2800.0,421,50,4.6,100.0
163,0.9637697266059124,뉴스마트로퍼 R14M008  (블랙),로맨틱무브,2600.0,4567,1859,4.8,2300.0
164,0.9635474549899978,포스트맨 101 - 블랙 차파랄,레드윙,2000.0,676,181,4.9,200.0
